source,paragraph
Christie,“He’d no need to. His plan was cleverer than that. I went up to
Conan Doyle,"breaking when I came to myself. My clothes were all sodden with dew,"
Christie,"cold sinking, as though some unutterable calamity had befallen me."
Conan Doyle,lifted and conveyed somewhere.”
Christie,I ran down the drive like one possessed.
Christie,"enough for you? This is going to be gruesome, you know,"
Conan Doyle,"“I will do so, and I will show you the steps by which I reached it. And"
Conan Doyle,"friend rose now and paced up and down the room, his hands in his"
Conan Doyle,"hour we were in Bloomsbury at the Alpha Inn, which is a small"
Conan Doyle,"dinner, I told Arthur and Mary my experience, and of the precious"
Christie,"old native woman came running in. She was hideous as sin, but she"
Conan Doyle,"“Well, really!” he cried, and then he choked and laughed again until he"
Christie,race was in Africa. They passed to Europe——”
Christie,finally subsided into two deck-chairs. There was nobody else in
Christie,"sordid. No, no, in the cause of science one must not be sordid.”"
Conan Doyle,"lovely flowers--mostly, as I observed, white or yellow in color, these"
Christie,petticoats—and my cloth likewise. Won’t you sit down?”
Conan Doyle,"“One day—it was in March, 1883—a letter with a foreign stamp lay upon"
Christie,dead man’s cheque book. Then he repeated his former gesture. The last
Christie,"almost in a whisper, she asked:"
Conan Doyle,"hastening in the direction of the fire. The road topped a low hill, and"
Conan Doyle,"gossip upon the matter but, above all, to preserve this coronet with"
Christie,notice two foreigners who left by that train! We must go there at
Christie,was in my second year at Cambridge.”
Conan Doyle,"specimen in your hand."""
Conan Doyle,"end of the tube.  Still more pleased was he when, inverting a leathern"
Conan Doyle,"the four surviving Indians, trembling with fear of us and yet imploring"
Christie,"“I went through it to protect her, and now it’s all no use!”"
Christie,is no mention of his son.”
Conan Doyle,hand. Miss Hunter screamed and shrunk against the wall at the sight of
Christie,bolt across the door behind them.
Christie,"is bad for his temperament. He cursed the porters, he cursed the"
Christie,but he went on: “You think me cruel—but one can’t go through life
Christie,"Beddingfeld, with an abnormal sense of humour. It seems to amuse"
Conan Doyle,"up to the room. The fire was burning brightly, and in the grate there"
Conan Doyle,of Maple White.  To all of us it seemed the moment of our supreme
Conan Doyle,those great people. I just made up my mind to run away and explain
Conan Doyle,week's stay at Para (save that I should wish to acknowledge the great
Christie,had a car waiting and we drove off. There was a queer booming in
Christie,"“Have adventures and see the world,” I replied, without the least"
Conan Doyle,"done?” He spoke calmly, but I could see that he was deeply moved."
Conan Doyle,can very well see that no apology is needed. If I can be of any
Christie,with an abandonment that was wholly French.
Christie,could easily have freed herself.
Conan Doyle,"""Splendid!"" cried the undaunted Challenger, rubbing his injured arm."
Christie,be dignified by the epithet “terrible.”
Christie,he not wait? I shall not be able to replace the things in this last
Christie,broadcasting about the events of this evening.”
Christie,to my own devices.
Christie,“Ta-ta-ta! Do not excite yourself! I have not said that I suspected
Christie,of them of considerable size. Diamonds of small size had been found
Christie,He talked about Florence and how much he wanted to go there.
Conan Doyle,surely the latter would have left nothing behind.
Conan Doyle,"it was gone--and so was our dinner.  A huge black shadow, twenty feet"
Christie,He was so positive that I felt doubts.
Conan Doyle,we wish you to do is to examine the machine and to let us know what is
Christie,I made a strategic sally from my room and returned laden with books
Conan Doyle,error which it may take some little time to rectify. Wait in
Christie,"After all, perhaps it was better to have this fellow with me, but"
Conan Doyle,"sleeves, which is a most useful material for showing traces. The double"
Conan Doyle,"“Better close the front door,” cried Holmes, and we all rushed down the"
Christie,"Marthe’s ears, and her thinking there was more in it than there ever"
Christie,by a strong guard. He waved his hand airily to us on departing.
Conan Doyle,would be so good as to put it on we should both be extremely obliged.’
Christie,"“You will do nothing of the kind.” I looked at him resentfully,"
Christie,could back out at the last moment without its appearing frightfully
Christie,Poirot uttered an exclamation.
Conan Doyle,"bird-like head held close to the ground.  Then it came back, to me.  It"
Conan Doyle,moving under the shadow of the copper beeches. As it emerged into the
Christie,"is very attracted to you, Anne. Give him a couple of glances from"
Conan Doyle,How our hydraulic engineer had been conveyed from the garden to the
Christie,“But the tramp. Where does he come in?”
Conan Doyle,"you could send her into the cellar on some errand, and then turn the"
Conan Doyle,"traversed half a mile or so when suddenly the sound was repeated, still"
Christie,him until this trip. He journeys to and from Africa a good deal.
Conan Doyle,"his leg and arm, and swung him three times backwards and forwards with"
Conan Doyle,"snakish temper, so that it flew upon the first person it saw. In this"
Christie,disadvantages as well as the advantages of female society.
Conan Doyle,gravel from a pit.’
Conan Doyle,"“‘Pooh!’ said he, gripping hard at his courage. ‘We are in a civilised"
Conan Doyle,"think, apparently, that the neighborhood was dangerous, for it slowly"
Christie,"ex-detective. He’s set up as a private detective in London, and he’s"
Conan Doyle,"and yet his hard, deep-lined, craggy features, and his enormous limbs"
Conan Doyle,"“I called about that beggarman, Boone—the one who was charged with"
Conan Doyle,a little face of disappointment.
Christie,“I don’t believe you like Pagett. I don’t blame you. Of all the
Conan Doyle,"“‘I should much prefer to have it so,’ said he, raising up a square,"
Conan Doyle,rat-faced fellow standing in the centre of the circle of yellow light
Christie,Secret Service whose business it was to lay the “Colonel” by the
Conan Doyle,strong smell of burning oil and heated metal. Someone in the next room
Conan Doyle,    especially as I could not help remarking its beauty during our
Conan Doyle,"“Yes. I was speaking only half an hour ago to Mr. Henry Baker, who was"
Conan Doyle,"“You have given orders that Arthur should be liberated, have you not,"
Conan Doyle,"the stair, some going up in hope, and some coming back dejected; but we"
Conan Doyle,We travelled by the Underground as far as Aldersgate; and a short walk
Conan Doyle,all of us.  I suppose it wasn't about South America you wanted to see
Conan Doyle,voice and saw the fury with which he shook his clinched fists at him.
Christie,thing that would loosen Colonel Race’s tongue. Far from being
Conan Doyle,"audience would be popular as well as scientific.  Indeed, it became"
Christie,“—did I think I had seen you?” I finished for him. “At Marlow. You
Conan Doyle,"“That’s the list of the folk from whom I buy. D’you see? Well, then,"
Conan Doyle,"attracted much attention at the Westbury House festivities, is an only"
Conan Doyle,platform. In spite of the light brown dustcoat and leather-leggings
Christie,never think of these simple things.
Christie,"Sisters have cancelled their contract, and have left Coventry for an"
Christie,"“She asked me to look her up, but of course I shan’t.”"
Christie,"When the Revolution was finally quelled, Colonel Race came down to"
Christie,"and then taken a train out to Merlinville, she would have arrived at"
Christie,I am going to say is true. I went into the house after her with
Christie,“You name is Françoise Arrichet?”
Conan Doyle,"bestowing a pontifical blessing upon the crowd), ""I have been selected"
Conan Doyle,orifice left at the other.  Into this opening several bamboo canes had
Christie,"who does those sort of jobs very neatly. Now, you’re a sensible"
Christie,"all that, but Oh, Lord, there’s reason enough for it! Do you know I’ve"
Christie,"connived at it, or to have been the instigator with an accomplice."
Christie,of excitement I had seen in his eyes disappeared.
Christie,"suitable” and mine were likely to be widely divergent, but it was"
Christie,was careful to be paid in advance. I took special care over the
Conan Doyle,"drawn my circle, and I only wish I knew at what point upon it the folk"
Conan Doyle,“Their reasons for their conduct. But you shall have it all just as it
Christie,Where had I heard of a roll of films? And why did I connect that
Conan Doyle,"same forward hang of the arms, the same bristling beard merging itself"
Christie,"decoyed out to death. No, I swore to myself that I’d take better"
